method,rep,protocol,seed,threshold,acc,acc_std,sen,sen_std,spe,spe_std,pre,pre_std,f1,f1_std,auc,auc_std
fnn,agg,P1,42,0.5,0.7000000000000001,0.08838834764831843,0.5869318181818182,0.2549022205581084,0.8493055555555556,0.10791184030391555,0.8277777777777777,0.12209589431019952,0.6259984681037313,0.18478798209804898,0.7854869002525252,0.07116894006911366
fnn_cat,catagg,P1,42,0.5,0.7000000000000001,0.08477912478906584,0.6545454545454545,0.10737283464561562,0.7229166666666667,0.14123538654876916,0.72188995215311,0.07648724197253663,0.6828218078218077,0.08552703551677193,0.790490845959596,0.06799591694610355
gnb,agg,P1,42,0.5,0.7125,0.02795084971874736,0.6264204545454546,0.12489503599221174,0.78125,0.11213718931913291,0.7530797101449275,0.06896894020713622,0.675568838068838,0.08114479227746081,0.7913446969696969,0.03717054255476275
knn,agg,P1,42,0.5,0.73125,0.1066170131826999,0.6892045454545455,0.17933946036902906,0.7729166666666667,0.030325841056802857,0.7398550724637681,0.07376726174728249,0.7078318807501103,0.1282330199459692,0.8120273042929292,0.08603661814356078
lr,agg,P1,42,0.5,0.8062499999999999,0.05694020986965188,0.8133522727272728,0.027465876180068297,0.7999999999999999,0.10474837574980446,0.8071637426900585,0.09882575943246427,0.8074316225345974,0.05570596856554984,0.8710661300505049,0.06869624760060634
lr_l1,concat,P1,42,0.5,0.6875,0.0649519052838329,0.7178977272727273,0.14447552044284667,0.6583333333333334,0.13485817882153725,0.6817543859649122,0.14069125392851922,0.6872258276513596,0.10313238116916834,0.7328424873737374,0.08530801805131927
qda,agg,P1,42,0.5,0.7125,0.0960143218483576,0.7494318181818181,0.11341313301231662,0.6847222222222222,0.10565601944254971,0.7056818181818181,0.08727834972419284,0.7224681020733652,0.08215652159913354,0.8228637941919191,0.07479075113762242
rf,agg,P1,42,0.5,0.8125,0.057282196186948006,0.7957386363636363,0.11521734032411803,0.8166666666666667,0.12101678283773311,0.8307280954339777,0.059113888436544824,0.8060700075786282,0.058215363205326144,0.8630946180555554,0.05466804156478653
svm_linear,agg,P1,42,0.5,0.74375,0.07577722283113837,0.7511363636363635,0.04376106707720391,0.7388888888888888,0.11069366025095152,0.74505772005772,0.11167392619081228,0.7453219465153369,0.07356179076441334,0.8189165088383838,0.06570982003457801
svm_rbf,agg,P1,42,0.5,0.79375,0.07368641326594745,0.803125,0.07812603305102123,0.7819444444444444,0.07172639629819644,0.7885790679908328,0.05400635934547017,0.7954459512882656,0.06510891183343952,0.8792960858585859,0.059618974256658
fnn,agg,P2,42,0.5,0.7,,0.65,,0.75,,0.7222222222222222,,0.6842105263157895,,0.6949999999999998,
fnn,agg,P2,2024,0.5,0.675,,0.8,,0.55,,0.64,,0.7111111111111111,,0.7525,
fnn,agg,P2,2026,0.5,0.625,,0.3,,0.95,,0.8571428571428571,,0.4444444444444444,,0.7675,
fnn_cat,catagg,P2,42,0.5,0.65,,0.65,,0.65,,0.65,,0.65,,0.7325,
fnn_cat,catagg,P2,2024,0.5,0.6,,0.75,,0.45,,0.5769230769230769,,0.6521739130434783,,0.6974999999999999,
fnn_cat,catagg,P2,2026,0.5,0.75,,0.7,,0.8,,0.7777777777777778,,0.7368421052631577,,0.78,
gnb,agg,P2,42,0.5,0.775,,0.7,,0.85,,0.8235294117647058,,0.7567567567567567,,0.8049999999999999,
gnb,agg,P2,2024,0.5,0.675,,0.65,,0.7,,0.6842105263157895,,0.6666666666666667,,0.76,
gnb,agg,P2,2026,0.5,0.75,,0.7,,0.8,,0.7777777777777778,,0.7368421052631577,,0.8725,
