id,status,started,finished,duration_s,exit,tail
EXP-PROP-001-s2024,done,2026-09-22T10:35:35,2026-09-22T10:38:14,159.3,0," },
 ""f1"": {
  ""mean"": 0.7684492069737971,
  ""std"": 0.1126556720340516
 }
}"
EXP-PROP-001-s2026,done,2026-09-22T10:35:35,2026-09-22T10:38:16,161.3,0," },
 ""f1"": {
  ""mean"": 0.8378048609988243,
  ""std"": 0.050870948621858786
 }
}"
EXP-PROP-001-s42,done,2026-09-22T10:35:35,2026-09-22T10:37:13,97.5,0," },
 ""f1"": {
  ""mean"": 0.8127168696936139,
  ""std"": 0.08062056702420703
 }
}"
EXP-PROP-001-s1234,done,2026-09-22T10:35:35,2026-09-22T10:37:33,117.7,0," },
 ""f1"": {
  ""mean"": 0.8419053605100117,
  ""std"": 0.07128754476328972
 }
}"
EXP-PROP-001-s7,done,2026-09-22T10:35:35,2026-09-22T10:37:33,117.4,0," },
 ""f1"": {
  ""mean"": 0.765327380952381,
  ""std"": 0.08858692320786053
 }
}"
EXP-PROP-002-s2024,done,2026-09-22T10:35:35,2026-09-22T10:37:53,137.9,0," },
 ""f1"": {
  ""mean"": 0.7732852527984373,
  ""std"": 0.06474928037971353
 }
}"
EXP-PROP-002-s42,done,2026-09-22T10:35:35,2026-09-22T10:37:30,114.8,0," },
 ""f1"": {
  ""mean"": 0.8412935619591966,
  ""std"": 0.0392127375368943
 }
}"
EXP-PROP-002-s1234,done,2026-09-22T10:35:35,2026-09-22T10:37:41,125.4,0," },
 ""f1"": {
  ""mean"": 0.7728753101736974,
  ""std"": 0.0920913366902526
 }
}"
EXP-PROP-002-s2026,done,2026-09-22T10:37:13,2026-09-22T10:40:38,205.6,0," },
 ""f1"": {
  ""mean"": 0.8405373089023704,
  ""std"": 0.07125995473460313
 }
}"
EXP-PROP-003-s42,done,2026-09-22T10:37:33,2026-09-22T10:38:36,63.0,0," },
 ""f1"": {
  ""mean"": 0.8247535680887921,
  ""std"": 0.082428407648236
 }
}"
EXP-PROP-003-s1234,done,2026-09-22T10:37:33,2026-09-22T10:38:37,64.2,0," },
 ""f1"": {
  ""mean"": 0.8353551835424129,
  ""std"": 0.08529233504216055
 }
}"
EXP-PROP-002-s7,done,2026-09-22T10:37:30,2026-09-22T10:40:09,159.5,0," },
 ""f1"": {
  ""mean"": 0.8736403755886357,
  ""std"": 0.06964267282949686
 }
}"
EXP-PROP-003-s2024,done,2026-09-22T10:37:41,2026-09-22T10:38:35,54.4,0," },
 ""f1"": {
  ""mean"": 0.8425324675324675,
  ""std"": 0.08754621939067539
 }
}"
EXP-PROP-003-s7,done,2026-09-22T10:38:14,2026-09-22T10:39:14,59.5,0," },
 ""f1"": {
  ""mean"": 0.8368245405133937,
  ""std"": 0.06359373881115923
 }
}"
EXP-PROP-003-s2026,done,2026-09-22T10:37:53,2026-09-22T10:39:03,70.2,0," },
 ""f1"": {
  ""mean"": 0.8274863685260403,
  ""std"": 0.06722704414152988
 }
}"
EXP-PROP-004-s42,done,2026-09-22T10:38:16,2026-09-22T10:39:09,52.7,0," },
 ""f1"": {
  ""mean"": 0.8108894728459947,
  ""std"": 0.08106602131398423
 }
}"
EXP-PROP-004-s1234,done,2026-09-22T10:38:35,2026-09-22T10:39:37,62.1,0," },
 ""f1"": {
  ""mean"": 0.832402094030001,
  ""std"": 0.07087029871773275
 }
}"
EXP-PROP-004-s2024,done,2026-09-22T10:38:36,2026-09-22T10:39:35,59.1,0," },
 ""f1"": {
  ""mean"": 0.8193473193473193,
  ""std"": 0.07933545116526616
 }
}"
EXP-PROP-004-s2026,done,2026-09-22T10:38:37,2026-09-22T10:39:32,54.6,0," },
 ""f1"": {
  ""mean"": 0.813092598458452,
  ""std"": 0.08789316341512664
 }
}"
EXP-PROP-004-s7,done,2026-09-22T10:39:03,2026-09-22T10:40:06,63.1,0," },
 ""f1"": {
  ""mean"": 0.8027431207568974,
  ""std"": 0.07616283362379729
 }
}"
