,status,started,finished,duration_s,exit,tail
EXP-PROP-001-s2024,done,2026-09-07T02:27:51,2026-09-07T02:28:20,29.1,0," },
 ""f1"": {
  ""mean"": 0.7828839869281046,
  ""std"": 0.0983762843284652
 }
}"
EXP-PROP-001-s2026,done,2026-09-07T02:27:51,2026-09-07T02:28:23,32.5,0," },
 ""f1"": {
  ""mean"": 0.7543881284169853,
  ""std"": 0.11441894919615117
 }
}"
EXP-PROP-001-s42,done,2026-09-07T02:27:51,2026-09-07T02:28:26,35.5,0," },
 ""f1"": {
  ""mean"": 0.8158120341770958,
  ""std"": 0.06968806553666525
 }
}"
EXP-PROP-001-s1234,done,2026-09-07T02:27:51,2026-09-07T02:28:28,37.4,0," },
 ""f1"": {
  ""mean"": 0.8396990529125681,
  ""std"": 0.0943305968336317
 }
}"
EXP-PROP-001-s7,done,2026-09-07T02:28:20,2026-09-07T02:28:49,29.1,0," },
 ""f1"": {
  ""mean"": 0.8050487735915743,
  ""std"": 0.100455534844542
 }
}"
EXP-PROP-002-s2024,done,2026-09-07T02:28:28,2026-09-07T02:29:00,31.8,0," },
 ""f1"": {
  ""mean"": 0.822022602144306,
  ""std"": 0.0709051512556342
 }
}"
EXP-PROP-002-s42,done,2026-09-07T02:28:23,2026-09-07T02:29:02,38.5,0," },
 ""f1"": {
  ""mean"": 0.8275075075075075,
  ""std"": 0.09652479450832202
 }
}"
EXP-PROP-002-s1234,done,2026-09-07T02:28:26,2026-09-07T02:29:07,40.5,0," },
 ""f1"": {
  ""mean"": 0.7562671280140375,
  ""std"": 0.15835368644445932
 }
}"
EXP-PROP-002-s2026,done,2026-09-07T02:28:49,2026-09-07T02:29:18,28.8,0," },
 ""f1"": {
  ""mean"": 0.6301658453766201,
  ""std"": 0.27483919687799846
 }
}"
EXP-PROP-003-s42,done,2026-09-07T02:29:02,2026-09-07T02:29:29,26.7,0," },
 ""f1"": {
  ""mean"": 0.7868950832365467,
  ""std"": 0.09314649520638416
 }
}"
EXP-PROP-003-s1234,done,2026-09-07T02:29:07,2026-09-07T02:29:32,24.7,0," },
 ""f1"": {
  ""mean"": 0.8226450552031948,
  ""std"": 0.06751856057013617
 }
}"
EXP-PROP-002-s7,done,2026-09-07T02:29:00,2026-09-07T02:29:37,37.0,0," },
 ""f1"": {
  ""mean"": 0.7930949167791272,
  ""std"": 0.062496403736162866
 }
}"
EXP-PROP-003-s2024,done,2026-09-07T02:29:18,2026-09-07T02:29:42,23.8,0," },
 ""f1"": {
  ""mean"": 0.8157540277480307,
  ""std"": 0.09606302192118492
 }
}"
EXP-PROP-003-s7,done,2026-09-07T02:29:32,2026-09-07T02:29:54,22.2,0," },
 ""f1"": {
  ""mean"": 0.7756427375992594,
  ""std"": 0.09186993953418768
 }
}"
EXP-PROP-003-s2026,done,2026-09-07T02:29:29,2026-09-07T02:29:54,25.4,0," },
 ""f1"": {
  ""mean"": 0.7631944444444444,
  ""std"": 0.09713041300040696
 }
}"
EXP-PROP-004-s42,done,2026-09-07T02:29:37,2026-09-07T02:29:59,22.0,0," },
 ""f1"": {
  ""mean"": 0.8029122960372959,
  ""std"": 0.06836060032909175
 }
}"
EXP-PROP-004-s1234,done,2026-09-07T02:29:42,2026-09-07T02:30:05,23.6,0," },
 ""f1"": {
  ""mean"": 0.8064325521222073,
  ""std"": 0.10116290812284266
 }
}"
EXP-PROP-004-s2024,done,2026-09-07T02:29:54,2026-09-07T02:30:18,24.6,0," },
 ""f1"": {
  ""mean"": 0.8084909354893488,
  ""std"": 0.07347620167864372
 }
}"
EXP-PROP-004-s2026,done,2026-09-07T02:29:54,2026-09-07T02:30:19,25.1,0," },
 ""f1"": {
  ""mean"": 0.8356963144294847,
  ""std"": 0.11396335933892279
 }
}"
EXP-PROP-004-s7,done,2026-09-07T02:29:59,2026-09-07T02:30:23,23.5,0," },
 ""f1"": {
  ""mean"": 0.7968951224765178,
  ""std"": 0.12570005201477705
 }
}"
EXP-PROP-005-s42,done,2026-09-07T02:30:05,2026-09-07T02:30:31,25.9,0," },
 ""f1"": {
  ""mean"": 0.8361542443064183,
  ""std"": 0.09642359466013757
 }
}"
EXP-PROP-005-s2024,done,2026-09-07T02:30:19,2026-09-07T02:30:47,28.1,0," },
 ""f1"": {
  ""mean"": 0.853733672882609,
  ""std"": 0.06390585133907073
 }
}"
EXP-PROP-005-s2026,done,2026-09-07T02:30:23,2026-09-07T02:30:53,30.5,0," },
 ""f1"": {
  ""mean"": 0.8362185825600459,
  ""std"": 0.0924830153443916
 }
}"
EXP-PROP-005-s1234,done,2026-09-07T02:30:18,2026-09-07T02:30:53,34.9,0," },
 ""f1"": {
  ""mean"": 0.8257276507276508,
  ""std"": 0.05327407332167131
 }
}"
EXP-PROP-005-s7,done,2026-09-07T02:30:31,2026-09-07T02:31:03,31.3,0," },
 ""f1"": {
  ""mean"": 0.84879896526238,
  ""std"": 0.06536045592463766
 }
}"
EXP-PROP-006-s42,done,2026-09-07T02:30:47,2026-09-07T02:31:11,24.0,0," },
 ""f1"": {
  ""mean"": 0.7441078085474637,
  ""std"": 0.10921566750340266
 }
}"
EXP-PROP-006-s2026,done,2026-09-07T02:31:03,2026-09-07T02:31:30,27.2,0," },
 ""f1"": {
  ""mean"": 0.806531425891182,
  ""std"": 0.11368146620385004
 }
}"
EXP-PROP-006-s1234,done,2026-09-07T02:30:53,2026-09-07T02:31:34,40.5,0," },
 ""f1"": {
  ""mean"": 0.8099781375965021,
  ""std"": 0.0712242378236269
 }
}"
EXP-PROP-006-s2024,done,2026-09-07T02:30:53,2026-09-07T02:31:36,43.2,0," },
 ""f1"": {
  ""mean"": 0.8571403638902221,
  ""std"": 0.08021010132108036
 }
}"
EXP-PROP-006-s7,done,2026-09-07T02:31:11,2026-09-07T02:31:37,26.2,0," },
 ""f1"": {
  ""mean"": 0.7785328706381338,
  ""std"": 0.11232627936497253
 }
}"
EXP-PROP-007-s42,done,2026-09-07T02:31:30,2026-09-07T02:32:02,31.8,0," },
 ""f1"": {
  ""mean"": 0.8087486157253599,
  ""std"": 0.09277950186989722
 }
}"
EXP-PROP-007-s1234,done,2026-09-07T02:31:34,2026-09-07T02:32:05,31.1,0," },
 ""f1"": {
  ""mean"": 0.8080086580086581,
  ""std"": 0.06459760799414509
 }
}"
EXP-PROP-007-s2026,done,2026-09-07T02:31:37,2026-09-07T02:32:09,31.3,0," },
 ""f1"": {
  ""mean"": 0.7971415839062899,
  ""std"": 0.0663166445594006
 }
}"
EXP-PROP-007-s2024,done,2026-09-07T02:31:37,2026-09-07T02:32:10,33.8,0," },
 ""f1"": {
  ""mean"": 0.7832946186604723,
  ""std"": 0.12082625960482403
 }
}"
EXP-PROP-007-s7,done,2026-09-07T02:32:02,2026-09-07T02:32:28,26.3,0," },
 ""f1"": {
  ""mean"": 0.8053041585519533,
  ""std"": 0.09408037429409914
 }
}"
EXP-PROP-008-s2024,done,2026-09-07T02:32:10,2026-09-07T02:32:38,27.3,0," },
 ""f1"": {
  ""mean"": 0.7492329357299232,
  ""std"": 0.06591002051546738
 }
}"
EXP-PROP-008-s42,done,2026-09-07T02:32:05,2026-09-07T02:32:45,39.9,0," },
 ""f1"": {
  ""mean"": 0.7717058004848703,
  ""std"": 0.038136496572810395
 }
}"
EXP-PROP-008-s1234,done,2026-09-07T02:32:09,2026-09-07T02:32:49,40.0,0," },
 ""f1"": {
  ""mean"": 0.7949399572383444,
  ""std"": 0.03797461476742624
 }
}"
