protocol,method,rep,seed,auc_ref,acc_ref,auc_new,acc_new,delta_auc,delta_acc,class
P1,fnn,agg,42,0.7700173611111111,0.63125,0.7854869002525252,0.7000000000000001,0.015469539141414135,0.06875000000000009,FLAG
P1,fnn_cat,catagg,42,0.775205965909091,0.7000000000000001,0.790490845959596,0.7000000000000001,0.01528488005050499,0.0,FLAG
P1,gnb,agg,42,0.7913446969696969,0.7125,0.7913446969696969,0.7125,0.0,0.0,exact
P1,knn,agg,42,0.8120273042929292,0.73125,0.8120273042929292,0.73125,0.0,0.0,exact
P1,lr,agg,42,0.8710661300505049,0.8062499999999999,0.8710661300505049,0.8062499999999999,0.0,0.0,exact
P1,lr_l1,concat,42,0.7328424873737374,0.6875,0.7328424873737374,0.6875,0.0,0.0,exact
P1,qda,agg,42,0.8228637941919191,0.7125,0.8228637941919191,0.7125,0.0,0.0,exact
P1,rf,agg,42,0.8630946180555554,0.8125,0.8630946180555554,0.8125,0.0,0.0,exact
P1,svm_linear,agg,42,0.8189165088383838,0.74375,0.8189165088383838,0.74375,0.0,0.0,exact
P1,svm_rbf,agg,42,0.8792960858585859,0.79375,0.8792960858585859,0.79375,0.0,0.0,exact
P2,fnn,agg,42,0.7875,0.725,0.6949999999999998,0.7,-0.09250000000000014,-0.025000000000000022,FLAG
P2,fnn,agg,2024,0.7175,0.65,0.7525,0.675,0.03499999999999992,0.025000000000000022,FLAG
P2,fnn,agg,2026,0.7875000000000001,0.575,0.7675,0.625,-0.02000000000000013,0.050000000000000044,FLAG
P2,fnn_cat,catagg,42,0.7424999999999999,0.7,0.7325,0.65,-0.009999999999999898,-0.04999999999999993,FLAG
P2,fnn_cat,catagg,2024,0.7275,0.6,0.6974999999999999,0.6,-0.030000000000000138,0.0,FLAG
P2,fnn_cat,catagg,2026,0.7775,0.725,0.78,0.75,0.0025000000000000577,0.025000000000000022,FLAG
P2,gnb,agg,42,0.8049999999999999,0.775,0.8049999999999999,0.775,0.0,0.0,exact
P2,gnb,agg,2024,0.76,0.675,0.76,0.675,0.0,0.0,exact
P2,gnb,agg,2026,0.8725,0.75,0.8725,0.75,0.0,0.0,exact
P2,knn,agg,42,0.835,0.775,0.835,0.775,0.0,0.0,exact
P2,knn,agg,2024,0.88875,0.825,0.88875,0.825,0.0,0.0,exact
P2,knn,agg,2026,0.84,0.8,0.84,0.8,0.0,0.0,exact
P2,lr,agg,42,0.9375,0.825,0.9375,0.825,0.0,0.0,exact
P2,lr,agg,2024,0.9125,0.8,0.9125,0.8,0.0,0.0,exact
P2,lr,agg,2026,0.8724999999999999,0.85,0.8724999999999999,0.85,0.0,0.0,exact
P2,lr_l1,concat,42,0.7775,0.725,0.7775,0.725,0.0,0.0,exact
P2,lr_l1,concat,2024,0.6699999999999999,0.7,0.6699999999999999,0.7,0.0,0.0,exact
P2,lr_l1,concat,2026,0.78,0.725,0.78,0.725,0.0,0.0,exact
P2,qda,agg,42,0.8250000000000001,0.7,0.8250000000000001,0.7,0.0,0.0,exact
P2,qda,agg,2024,0.835,0.775,0.835,0.775,0.0,0.0,exact
P2,qda,agg,2026,0.8100000000000002,0.675,0.8100000000000002,0.675,0.0,0.0,exact
P2,rf,agg,42,0.8474999999999999,0.775,0.8474999999999999,0.775,0.0,0.0,exact
P2,rf,agg,2024,0.8899999999999999,0.8,0.8899999999999999,0.8,0.0,0.0,exact
P2,rf,agg,2026,0.8525,0.8,0.8525,0.8,0.0,0.0,exact
P2,svm_linear,agg,42,0.96,0.875,0.96,0.875,0.0,0.0,exact
P2,svm_linear,agg,2024,0.86,0.775,0.86,0.775,0.0,0.0,exact
P2,svm_linear,agg,2026,0.8775000000000001,0.825,0.8775000000000001,0.825,0.0,0.0,exact
P2,svm_rbf,agg,42,0.9025,0.775,0.9025,0.775,0.0,0.0,exact
P2,svm_rbf,agg,2024,0.9225,0.875,0.9225,0.875,0.0,0.0,exact
P2,svm_rbf,agg,2026,0.8925,0.8,0.8925,0.8,0.0,0.0,exact
