subject_id,n_fix,dur_mean,pup_mean,dispersion,n_stim,label
0,1536,281.201171875,1306.201171875,245.354832103007,100.0,0
1,1207,348.38525269262635,987.6462303231151,211.3807836190047,100.0,0
2,1514,268.0482166446499,647.4174372523117,221.6103149431742,100.0,0
3,1571,261.5849777211967,969.1406747294717,252.83497986257376,100.0,0
4,1262,306.8835182250396,1556.811410459588,221.16825582813132,98.0,0
5,1357,273.23360353721444,1916.647015475313,200.3427519887885,100.0,0
6,1300,299.7646153846154,1445.636923076923,215.55147892404642,100.0,0
7,1768,246.74377828054298,2351.2364253393666,243.4672169347162,100.0,0
8,1363,319.8356566397652,1224.626559060895,178.60450304925763,100.0,0
9,1317,308.8807896735004,2181.996962794229,208.34986315575654,100.0,0
11,1521,279.70940170940173,1390.8468113083497,197.19234707878482,100.0,0
12,1900,218.32052631578946,2043.6426315789474,212.09381869278184,100.0,0
13,1196,311.5484949832776,763.1563545150501,160.52258101249035,98.0,0
16,1626,270.65375153751535,1388.590405904059,183.3478160643138,100.0,0
17,1756,241.18507972665148,531.5170842824601,195.1253727800269,100.0,0
19,1139,331.25899912203687,1692.6093064091308,195.5076535897131,99.0,0
20,1504,258.6402925531915,1090.7938829787233,273.68552261280075,95.0,0
21,1636,256.8380195599022,875.0544009779951,189.24360996461343,100.0,0
22,1383,257.9110629067245,2085.996384671005,191.72829965157408,100.0,0
23,1733,235.67397576457012,1615.3618003462204,249.685334605614,100.0,0
24,1855,216.75471698113208,599.3309973045822,205.98468734665886,100.0,0
25,1439,263.2425295343989,987.1160528144545,180.99486782340196,100.0,0
26,1480,278.2628378378378,1016.202027027027,207.8784815999583,97.0,0
28,1258,326.61367249602546,1620.550079491256,189.26694617396114,99.0,0
29,1449,275.8150448585231,1497.6190476190477,176.1055168119061,100.0,0
31,1442,225.2233009708738,984.5776699029126,206.43667770166616,98.0,0
32,1630,250.55828220858896,1000.179754601227,188.21903795340074,100.0,0
33,1394,283.2374461979914,1324.4569583931134,190.0205059449235,100.0,0
34,1630,226.96257668711655,1690.2269938650306,191.96317114246582,100.0,0
35,1170,335.9034188034188,1776.091452991453,184.85898138645362,97.0,0
36,1182,324.4560067681895,793.3485617597293,197.25940410469263,99.0,0
37,1330,300.803007518797,995.0714285714286,214.11258049694237,100.0,0
39,1244,283.65594855305466,1350.427652733119,143.44202612240719,96.0,0
40,1449,264.39820565907524,1519.775017253278,218.2181738519208,100.0,0
41,1561,242.50416399743753,951.7514413837284,206.15983879587108,99.0,0
42,1713,221.84121424401636,2087.8470519556336,161.38235664467408,100.0,0
43,1432,292.1040502793296,1210.0391061452515,190.86906270666367,100.0,0
44,1146,298.3132635253054,1113.2966841186737,173.05215693147565,90.0,0
45,1449,288.2553485162181,2531.03933747412,195.7877948147511,100.0,0
46,1754,231.79133409350058,1703.1197263397949,242.2505450445411,100.0,0
49,1647,222.62112932604737,1322.6921675774136,173.66869560369915,98.0,0
50,1270,286.56220472440947,1739.5740157480316,193.94585516429487,100.0,0
53,1499,278.6671114076051,1204.5970647098065,216.3976680070424,100.0,0
54,1398,264.68884120171674,1319.3340486409156,192.86860248987006,98.0,0
55,1279,267.2157935887412,1400.5379202501954,200.84289740353037,100.0,0
56,1299,284.8806774441878,950.8344880677445,164.67695253818218,99.0,0
57,1794,197.48717948717947,1040.2720178372351,166.2546554450095,99.0,0
59,1801,222.20266518600778,575.9300388672959,167.98025196848658,99.0,0
60,1312,310.0259146341463,766.1798780487804,142.58888305486255,100.0,0
62,1198,302.20784641068445,1708.8196994991654,141.9897171198111,100.0,0
63,1388,279.7680115273775,1246.4610951008644,180.58649563317778,99.0,0
64,1398,239.90057224606582,2935.005722460658,234.9088085359482,96.0,0
65,1157,364.4675885911841,916.8452895419188,208.15226302618473,100.0,0
66,1272,295.00786163522014,1042.9960691823899,199.3778745584717,99.0,0
68,1734,246.30507497116494,1614.1476355247983,189.18403059115118,100.0,0
69,1003,320.9780658025922,1328.9790628115652,176.24942013581392,97.0,0
70,1288,305.0372670807453,1705.8229813664595,161.81299922848677,100.0,0
71,1606,253.8972602739726,1235.4570361145704,181.46687140820717,100.0,0
72,1780,227.58258426966293,1742.5140449438202,256.1634277736664,100.0,0
73,1605,243.18317757009345,1279.9644859813084,196.77287851757546,100.0,0
77,1766,232.24292185730465,1215.5271800679502,200.09530044847972,100.0,0
79,1125,345.72355555555555,1224.7493333333334,244.0163936101518,100.0,0
80,1563,239.1183621241203,1528.1030070377478,270.27634751500665,100.0,0
81,1982,201.9212916246216,1330.3496468213925,225.7124799198515,100.0,0
82,1547,241.21331609566903,1117.2482223658694,200.3042910830064,100.0,0
83,1625,250.65046153846154,1050.091076923077,205.54420518237345,100.0,0
84,1025,309.7258536585366,1086.6829268292684,182.36792766643126,97.0,0
85,1552,241.03608247422682,2172.9413659793813,186.263094166483,100.0,0
86,1635,240.58715596330276,1094.6825688073395,195.40889599946001,100.0,0
87,1825,236.61917808219178,1339.2334246575342,216.37492415772283,100.0,0
88,1275,275.1443137254902,1333.0745098039215,162.16525792100995,98.0,0
89,1480,274.0783783783784,1287.2763513513514,180.6391491534946,100.0,0
90,1046,346.1185468451243,1431.2466539196942,198.96831120788622,97.0,0
91,1304,298.68634969325154,1442.7246932515338,238.91180895480014,100.0,0
94,1276,277.08777429467085,1442.9710031347963,174.40918192903254,100.0,0
95,1693,243.42705256940343,940.441819255759,180.7275057560023,100.0,0
97,1451,268.39283252929016,737.605789110958,229.5171635879409,100.0,0
99,1398,235.84763948497854,1492.1502145922748,184.05491537669735,98.0,0
101,1521,275.3267587113741,1271.558842866535,193.48177737691958,100.0,0
102,1649,259.1127956337174,2068.4420861127956,240.527353976867,100.0,0
203,1268,344.6577287066246,954.4731861198738,153.1312510359966,100.0,1
204,707,488.65346534653463,1458.121640735502,162.62318928003123,94.0,1
205,1306,332.6110260336907,626.9042879019908,177.46203009934194,100.0,1
206,1083,350.14127423822714,638.3739612188366,178.0320255282505,99.0,1
207,980,394.02755102040817,358.7867346938776,147.84527857215303,99.0,1
208,1098,333.1657559198543,1230.2386156648452,155.2099142144794,98.0,1
211,991,456.46720484359236,651.3027245206862,168.81753789466802,100.0,1
