feature,group,cohen_d,p_welch,hc_mean,sz_mean,hc_n,sz_n
spa_max_grid_frac,spa_center,-0.9881641877000724,5.630318182474999e-09,0.29185443920091547,0.3548914613423791,80,80
tem_ifi_mean,tem,-0.9048894899694984,7.351394955180518e-08,289.9536856550832,350.3662706489622,80,80
tem_dur_mean,tem,-0.8934449531467021,1.0174449109428327e-07,288.6317602440069,347.1358276530123,80,80
tem_ifi_std,tem,-0.7332663459031477,7.891848376640138e-06,100.4314626677049,122.8433987447416,80,80
tem_dur_max,tem,-0.7178252467126123,1.1908574106748075e-05,623.8142383786371,724.2951529296057,80,80
tem_dur_std,tem,-0.6796645082600732,3.1911093598099215e-05,152.45419979287766,185.96324896982665,80,80
spa_center_frac,spa_center,-0.6383158236094683,8.425329701715074e-05,0.6869173691218798,0.74817050669782,80,80
tem_first_dur,tem,-0.6041261973127601,0.00019920182035201714,271.12502020273826,308.5233223165691,80,80
tem_last_dur,tem,-0.5956311050613805,0.00024605264551063303,272.8426193676214,325.4356360722842,80,80
geo_revisit_rate,geo,-0.4804259941825983,0.0028065904161130527,0.42484986095866895,0.4690975062603499,80,80
spa_q4,spa_center,-0.29989687222455563,0.060011066058111136,0.2579412946622197,0.2884917994115366,80,80
spa_mean_x,spa_pos,-0.18209426517340563,0.25135282164795636,514.7123798127948,520.5368203860259,80,80
tem_dur_total,tem,-0.12366296009111864,0.43539472567731496,3949.0081294135475,3985.2360502377132,80,80
spa_mean_y,spa_pos,-0.1051104095847455,0.5071986214191155,391.9343806079304,395.7235870445435,80,80
spa_q2,spa_center,0.024397316492690734,0.8776088802302565,0.24678535056684375,0.2445406942079298,80,80
spa_q3,spa_center,0.03249292596215607,0.8374655799853407,0.2582502759084454,0.25529661982350044,80,80
geo_dy_mean,geo,0.055090314716474756,0.7279976480147206,1.6932500368179197,1.536964800055054,80,80
geo_dx_mean,geo,0.12491756100158158,0.43070606767875097,1.4424308601381075,0.9825351692143587,80,80
pup_min,pup,0.24651671511138087,0.12143338606577851,1081.1449290973403,954.8010362993452,80,80
spa_skew_x,spa_center,0.2619970419217277,0.09966920776523899,0.027095842990898112,0.0017232442344742352,80,80
pup_slope,pup,0.30821460319640287,0.05326743773609538,23.930379120309954,19.1703048735529,80,80
spa_q1,spa_center,0.3540595684986434,0.026565663315434213,0.23702307886249113,0.2116708865570332,80,80
pup_mean,pup,0.3873401040893383,0.015580095283292288,1359.288153961695,1127.9083730324842,80,80
pup_median,pup,0.3918330257018964,0.014436433835288691,1379.8252552147337,1142.466342236803,80,80
pup_max,pup,0.46731218487659587,0.003673702406595041,1554.982652466163,1247.5688853988809,80,80
geo_nn_dist_mean,geo,0.5159386785622067,0.001352064789502505,59.64593328075305,53.40740669310592,80,80
spa_center_dist_mean,spa_center,0.6216410569045255,0.00012667495483444248,199.16343995916958,180.63380815658684,80,80
geo_sacc_amp_mean,geo,0.7366224507562923,7.181334149940615e-06,165.45207913792882,140.3427643228945,80,80
geo_sacc_amp_std,geo,0.8018316851705579,1.191574189919849e-06,118.3584444080763,100.93133805921573,80,80
pup_first_last_diff,pup,0.8116308048895111,8.278731741770906e-07,328.4791038211463,206.12845473301164,80,80
spa_std_x,spa_pos,0.8130182938019636,8.130088101681966e-07,164.30168351075994,139.65879516636613,80,80
spa_dispersion,spa_pos,0.8578425297667805,2.169403710116549e-07,172.0901122877803,144.5977260108189,80,80
geo_angle_var,geo,0.8671071693522803,1.8433322948385875e-07,0.8164461954357126,0.7811736372640556,80,80
pup_std,pup,0.8888725689900229,8.511040378514842e-08,143.03164724253068,92.8062987526636,80,80
spa_std_y,spa_pos,0.8896155826823766,8.204754005743891e-08,108.05964953449947,89.32610302083984,80,80
spa_center_dist_std,spa_center,0.9102613978167128,4.977928857404268e-08,100.26375627148917,88.84393360038486,80,80
geo_sacc_amp_max,geo,0.9203911115882583,3.62361852936903e-08,413.13214199938136,342.2582663139112,80,80
spa_bbox_area,spa_pos,0.9442222537787273,1.498505034217489e-08,192624.79640192265,136964.38375603198,80,80
geo_hull_area,geo,0.96198537859961,8.66325778185394e-09,119481.71636822559,81495.99781769436,80,80
tem_velocity_mean,tem,0.9865540064703361,5.10042666344152e-09,0.6911427405616412,0.5221290768717302,80,80
tem_trans_entropy,tem,1.0080237703527126,2.055615629316452e-09,0.5388872066279525,0.4561074846321024,80,80
spa_fix_count,spa_pos,1.0169846889202445,1.4313167977006397e-09,14.809343282889206,12.619865269938854,80,80
tem_fix_rate,tem,1.0392938391969817,7.136492188147134e-10,1.9540286372571345,1.668135238257641,80,80
geo_scanpath_len,geo,1.0542385498461937,4.6155529846314434e-10,2279.407031619003,1682.7251982974685,80,80
spa_entropy,spa_center,1.073712195470687,2.8666157470179147e-10,0.48854607199148203,0.4271720947587765,80,80
