,mean,std
mlp_norm01_spa_pos,0.041015625,0.029969138766885176
mlp_norm01_spa_center,0.1474609375,0.04353590152909386
mlp_norm01_geo,0.1435546875,0.02803072729890924
mlp_norm01_tem,0.07584635416666674,0.0184343686650622
mlp_norm01_pup,0.21223958333333326,0.040657539052072894
z_mean_spa_pos,-0.01204427083333337,0.011043747040161065
z_mean_spa_center,0.08072916666666663,0.02247744336150009
z_mean_geo,0.13248697916666663,0.03305439267575125
z_mean_tem,0.01595052083333337,0.03891982407323966
z_mean_pup,0.16861979166666674,0.031134497919839414
